country,population,adjusted,natural,total
Argentina,35926000,3100000,4500000,21.1
Australia,19338000,11722000,143433,61.0
Austria,8070000,0,160000,2.0
Brazil,172558000,65585000,?,>41.0
Brunei,310000,175000,0,56.0
Canada,31000000,13330000,300000,43.0
Chile,15401000,5423877,788550,40.0
China,1292378000,0,200000000,15.0
Colombia,42802000,29406860,600140,70.0
Cuba,11236000,?,0,?
Cyprus,689471,0,~40000,5.7
Czech Republic,10260000,0,15000,<0.1
Denmark,5332000,0,50000,1.0
Egypt,69079000,?,0,?
Fiji,822000,300000,0,36.0
Finland,517700,0,200000,4.3
France,59452000,0,1800000,3.0
Gabon,126100,0,1261000,100
Germany,82183824,0,0,0
Guatemala,11686000,1800000,?,15.0
Guyana,762000,45000,200000,32.0
Haiti,8269000,0,11461,<0.1
Hong Kong,6708309,6708309,0,100.0
Iran,71368000,0,?,?
Ireland,3840000,2345000,200300,66.0
Israel,6370000,4267900,509000,75.0
Italy,57502000,0,?,?
Japan,127334000,0,0,0
Korea,46125000,5367000,0,11.4
Kiribati,84000,0,50400,~60.0
Libya,5407000,400000,1000000,26.0
Malaysia,22632000,~15842000,0,~70.0
Malta,386000,0,38600,10.0
Mexico,100367000,0,3000000,3.0
Namibia,1787000,0,~200000,~11.0
Nauru,13000,0,?,?
Netherlands,16000000,0,0,0
New Zealand,3807000,2317728,0,61.0
Nigeria,116928000,0,20000,<0.1
Panama,2898000,509554,0,18.0
Papua New Guinea,4919000,102000,70000,3.0
Paraguay,5635000,350000,?,>6.0
Peru,26092000,500000,80000,2.0
Philippines,77130000,~5000000,850000,~8.0
Poland,38576000,80000,300000,1.0
Puerto Rico,3500000,~35000,0,<1.0
Senegal,9661000,0,1000000,10.0
Serbia,10537000,300000,?,~3.0
Singapore,4107000,4107000,0,100.0
South Africa,4379141000,0,?,?
Spain,39920000,4000000,0,10.0
Sri Lanka,19103000,0,2799390,15.0
Sweden,8832000,0,750000,8.4
Taiwan,22500000,0,?,?
Tanzania,350000000,0,12250000,35.0
Thailand,60161000,91000,~150000,~4.0
United Kingdom,59541000,5400000,330000,10.0
United States,281421906,171000000,10001000,64.0
Uruguay,3360000,0,15000,<0.1
Venezuela,24631000,0,100000,<0.1
Vietnam,79700000,4400000,0,6.0
Democratic Republic of the Congo,37500000,0,600000,2.0
Zambia,10200000,0,947166,10.0
Zimbabwe,13000000,0,2600000,20.0
